Date,User ID/Alias,Mainnet Address,Feature Used,Feedback/Comments,Rating (1-5)
2026-06-06,User6733,GBUJ0JAT...4ZR0,Send XLM,Love the dark mode,4
2026-06-11,User8613,GBLKY8UF...N8BT,Dashboard,Very fast load times,4
2026-06-20,User3099,GB7R5E1A...VJX5,Receive XLM,Very fast load times,5
2026-06-18,User3990,GBJFUTN9...FCWK,Send XLM,Easy to use,4
2026-06-01,User5809,GBB85NBL...E016,Dashboard,Premium feel,4
2026-06-20,User2636,GBDXHSZL...FPZQ,Receive XLM,Very fast load times,4
2026-06-14,User5526,GBKABRVZ...ZKFH,Wallet Connect,Premium feel,5
2026-06-18,User8348,GBRVH5ED...1VB5,Send XLM,Very fast load times,4
2026-06-10,User8104,GBKPPIUX...PHS7,Wallet Connect,Love the dark mode,5
2026-06-01,User6172,GBE27AD6...UMSZ,Wallet Connect,Best portfolio tracker,4
2026-06-02,User5673,GBVTP4KY...DCAP,Portfolio View,Love the dark mode,4
2026-06-05,User4987,GB678PEE...16GW,Receive XLM,Best portfolio tracker,4
2026-06-09,User5905,GBONPJUW...QTP4,Dashboard,Best portfolio tracker,4
2026-06-08,User2921,GBZRWGHA...TZ90,Wallet Connect,Very fast load times,5
2026-06-09,User6675,GBOLP5JS...SLM2,Receive XLM,Easy to use,5
2026-06-05,User3118,GB7W16TN...D7VK,Dashboard,Very fast load times,4
2026-06-11,User8015,GBQE061H...O955,Receive XLM,Smooth connection,4
2026-06-16,User6181,GBNB8TY1...CCZR,Dashboard,Very fast load times,5
2026-06-18,User5174,GBS5X1DT...327N,Portfolio View,Very fast load times,5
2026-06-05,User3839,GBSD1S10...2CZQ,Receive XLM,Premium feel,5
2026-06-17,User2655,GBLVMUL6...YOP8,Dashboard,Looks great,5
2026-06-14,User5941,GBGC8A3L...MDPD,Portfolio View,Best portfolio tracker,4
2026-06-05,User4059,GBMFBDGS...FCU5,Wallet Connect,Best portfolio tracker,5
2026-06-13,User2956,GB6C5NUM...VTK3,Portfolio View,Very fast load times,5
2026-06-16,User4865,GBKV5K15...R3I5,Dashboard,Very fast load times,5
2026-06-01,User3420,GBGQXHD6...S2EJ,Portfolio View,Best portfolio tracker,5
2026-06-13,User8674,GBYZ88JZ...MMCX,Dashboard,Premium feel,5
2026-06-07,User8570,GBV74C62...RFCR,Receive XLM,Best portfolio tracker,4
2026-06-08,User6740,GBXS6LDA...II0X,Receive XLM,Love the dark mode,5
2026-06-16,User5248,GBTMIU1P...CWET,Portfolio View,Very fast load times,4
2026-06-05,User6077,GBVXUVFV...9ZQL,Receive XLM,Easy to use,4
2026-06-13,User4428,GBDDILKO...GFK2,Dashboard,Best portfolio tracker,5
2026-06-18,User5820,GBBI2UH0...FDJ4,Dashboard,Very fast load times,4
2026-06-13,User3095,GBOCN725...BR1B,Dashboard,Looks great,5
2026-06-01,User7913,GBL1BN2G...RN1X,Send XLM,Love the dark mode,4
2026-06-03,User6021,GBNDYQ4P...5MNJ,Wallet Connect,Easy to use,4
2026-06-18,User2510,GB2NYLN9...BUZ5,Send XLM,Very fast load times,5
2026-06-05,User8728,GB2XOKO1...95HA,Wallet Connect,Premium feel,5
2026-06-09,User4091,GB01R205...8UEG,Dashboard,Smooth connection,5
2026-06-18,User8218,GB11G05Y...4MFY,Dashboard,Easy to use,4
2026-06-12,User9915,GBQ8GJI9...FRDX,Dashboard,Best portfolio tracker,5
2026-06-20,User4114,GBWIP9AQ...HIMJ,Dashboard,Looks great,4
2026-06-08,User9646,GBX3SFDB...U1ME,Wallet Connect,Easy to use,5
2026-06-04,User3573,GBAE03X8...DNGK,Receive XLM,Best portfolio tracker,5
2026-06-10,User2779,GBIQHJH9...YSLK,Send XLM,Easy to use,5
2026-06-10,User8521,GBA0VD2O...7HM6,Wallet Connect,Love the dark mode,5
2026-06-17,User4055,GBR3RORF...BMSK,Receive XLM,Smooth connection,4
2026-06-18,User4673,GBV8FZHZ...HR81,Dashboard,Easy to use,5
2026-06-08,User8219,GBWBRU7J...SNXG,Portfolio View,Best portfolio tracker,5
2026-06-03,User9778,GBBTDXI8...1CML,Send XLM,Easy to use,4
2026-06-20,User9437,GBV7QB5D...ISQD,Send XLM,Best portfolio tracker,4
2026-06-16,User9459,GBRVBPDM...31HG,Send XLM,Easy to use,4
2026-06-08,User6613,GBNIPAIP...0LTC,Portfolio View,Smooth connection,5
2026-06-14,User2298,GBMZDLMK...2XIH,Receive XLM,Smooth connection,4
2026-06-20,User5237,GB6K4J37...2G6S,Dashboard,Easy to use,5
